piece_reference,piece_id,robot_group,piece_file,has_any_valid,valid_count,invalid_count,valid_tools,invalid_tools,best_valid_tool,best_valid_fxmin
W86008801,1,SCARA,SCARA/OUT_cnc/ID1_W86008801.cnc,True,2,6,tool_B;tool_B,H04_pos0_tool;H04_pos1_tool;tool_A;H04_pos0_tool;H04_pos1_tool;tool_A,tool_B,-1464.8583053523557
W86008804,2,SCARA,SCARA/OUT_cnc/ID2_W86008804.cnc,True,2,6,tool_B;tool_B,H04_pos0_tool;H04_pos1_tool;tool_A;H04_pos0_tool;H04_pos1_tool;tool_A,tool_B,-1616.9247605797616
W86008806,1,SCARA,SCARA/OUT_cnc/ID1_W86008806.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-677.234159614861
W86009414,1,SCARA,SCARA/OUT_cnc/ID1_W86009414.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-1013.1710802226448
W86011501,2,ANTHRO,OUT_cnc/ID2_W86011501.cnc,True,6,6,H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool,tool_A;tool_B;tool_A;tool_B;tool_A;tool_B,H04_pos1_tool,-62847.904087295865
W86011503,2,ANTHRO,OUT_cnc/ID2_W86011503.cnc,True,6,6,H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool;H04_pos0_tool;H04_pos1_tool,tool_A;tool_B;tool_A;tool_B;tool_A;tool_B,H04_pos0_tool,-62544.312360547985
W86011504,9,ANTHRO,OUT_cnc/ID9_W86011504.cnc,True,2,2,H04_pos0_tool;H04_pos1_tool,tool_A;tool_B,H04_pos0_tool,-55800.65243052847
W86011505,4,ANTHRO,OUT_cnc/ID4_W86011505.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos1_tool,-40106.35671534065
W86011506,3,ANTHRO,OUT_cnc/ID3_W86011506.cnc,True,12,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos0_tool,-37201.22722918699
W86011507,1,ANTHRO,OUT_cnc/ID1_W86011507.cnc,True,8,4,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,H04_pos0_tool,-32021.16424320887
W86011513,1,SCARA,SCARA/OUT_cnc/ID1_W86011513.cnc,True,8,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-2089.8174152383913
W86011514,1,SCARA,SCARA/OUT_cnc/ID1_W86011514.cnc,True,12,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B;H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,tool_B,-2089.4807182034933
W86011515,6,ANTHRO,OUT_cnc/ID6_W86011515.cnc,True,4,0,H04_pos0_tool;H04_pos1_tool;tool_A;tool_B,,H04_pos0_tool,-49227.86969628783
W86011516,1,ANTHRO,OUT_cnc/ID1_W86011516.cnc,True,2,2,H04_pos0_tool;H04_pos1_tool,tool_A;tool_B,H04_pos0_tool,-62009.45990315403
