material,thickness,laser_power_mean,laser_power_median,laser_power_std,laser_power_count,feedrate_e01_mean,feedrate_e01_median,feedrate_e01_std,gas_pressure_mean,gas_pressure_median
desconocido,12.0,6000.0,6000.0,0.0,3,3933.3333333333335,4500.0,1913.9836293274122,4.2,6.0
desconocido,15.0,6000.0,6000.0,0.0,2,2760.0,2760.0,2036.467529817257,2.3,2.3
desconocido,20.0,6000.0,6000.0,0.0,2,1600.0,1600.0,848.5281374238571,2.3,2.3
desconocido,25.0,6000.0,6000.0,,1,1000.0,1000.0,,0.6,0.6
desconocido,30.0,6000.0,6000.0,,1,440.0,440.0,,1.1,1.1
galvanizado,1.0,7000.0,7000.0,1414.213562373095,2,60000.0,60000.0,14142.13562373095,9.0,9.0
galvanizado,1.5,7000.0,7000.0,1414.213562373095,2,47500.0,47500.0,3535.5339059327375,9.0,9.0
galvanizado,2.0,6000.0,6000.0,0.0,2,42000.0,42000.0,0.0,11.5,11.5
galvanizado,3.0,6000.0,6000.0,0.0,2,20000.0,20000.0,0.0,11.0,11.0
galvanizado,4.0,6000.0,6000.0,0.0,2,11000.0,11000.0,1414.213562373095,11.5,11.5
